551			一汽	一汽tfc	紧凑型车	未上市
556			英伦	英伦sc6	紧凑型车	未上市
557			英伦	英伦sc6rv	紧凑型车	未上市
92			众泰	众泰z300	紧凑型车	未上市
99	奥迪(进口)	奥迪(进口)	奥迪	奥迪a3	紧凑型车	在售
445	上汽通用五菱	上汽通用五菱	宝骏	宝骏630	紧凑型车	在售
101	宝马(进口)	宝马(进口)	宝马	宝马1系	紧凑型车	在售
1671	宝马M	宝马M	宝马	宝马1系m	紧凑型车	在售
103	奔驰(进口)	奔驰(进口)	奔驰	奔驰b级	紧凑型车	在售
118	一汽奔腾	一汽奔腾	奔腾	奔腾b50	紧凑型车	在售
533	东风本田	东风本田	本田	思域	紧凑型车	在售
105	比亚迪	比亚迪	比亚迪	比亚迪f3	紧凑型车	在售
137	比亚迪	比亚迪	比亚迪	比亚迪f3r	紧凑型车	在售
136	比亚迪	比亚迪	比亚迪	比亚迪g3	紧凑型车	在售
140	比亚迪	比亚迪	比亚迪	比亚迪g3r	紧凑型车	在售
84	比亚迪	比亚迪	比亚迪	比亚迪l3	紧凑型车	在售
139	东风标致	东风标致	标致	标致307	紧凑型车	在售
134	东风标致	东风标致	标致	标致308	紧凑型车	在售
121	标致(进口)	标致(进口)	标致	标致308(进口)	紧凑型车	在售
138	东风标致	东风标致	标致	标致408	紧凑型车	在售
133	通用别克	通用别克	别克	凯越	紧凑型车	在售
555	通用别克	通用别克	别克	英朗	紧凑型车	在售
78	长安汽车	长安汽车	长安	长安cx30	紧凑型车	在售
981	长安汽车	长安汽车	长安	逸动eado	紧凑型车	在售
537	长城汽车	长城汽车	长城	长城c30	紧凑型车	在售
538	长城汽车	长城汽车	长城	长城c50	紧凑型车	在售
446	一汽-大众	一汽-大众	大众	宝来	紧凑型车	在售
460	一汽-大众	一汽-大众	大众	高尔夫	紧凑型车	在售
461	大众(进口)	大众(进口)	大众	高尔夫(进口)	紧凑型车	在售
480	一汽-大众	一汽-大众	大众	捷达	紧凑型车	在售
478	大众(进口)	大众(进口)	大众	甲壳虫	紧凑型车	在售
494	上海大众	上海大众	大众	朗逸	紧凑型车	在售
535	一汽-大众	一汽-大众	大众	速腾	紧凑型车	在售
127	吉利汽车	吉利汽车	帝豪	帝豪ec7	紧凑型车	在售
128	吉利汽车	吉利汽车	帝豪	帝豪ec7rv	紧凑型车	在售
965	东风乘用车	东风乘用车	东风风神	风神a60	紧凑型车	在售
455	东风乘用车	东风乘用车	东风风神	风神h30	紧凑型车	在售
456	东风乘用车	东风乘用车	东风风神	风神s30	紧凑型车	在售
440	东南汽车	东南汽车	东南	v3菱悦	紧凑型车	在售
450	菲亚特(进口)	菲亚特(进口)	菲亚特	博悦	紧凑型车	在售
474	一汽丰田	一汽丰田	丰田	花冠	紧凑型车	在售
489	一汽丰田	一汽丰田	丰田	卡罗拉	紧凑型车	在售
100	一汽丰田	一汽丰田	丰田	普锐斯	紧凑型车	在售
483	东风风行	东风风行	风行	景逸	紧凑型车	在售
98	长安福特	长安福特	福特	福克斯	紧凑型车	在售
526	哈飞汽车	哈飞汽车	哈飞	赛豹iii	紧凑型车	在售
109	海马汽车	海马汽车	海马	福美来	紧凑型车	在售
108	海马汽车	海马汽车	海马	海福星	紧凑型车	在售
154	吉利汽车	吉利汽车	吉利全球鹰	全球鹰gc7	紧凑型车	在售
563	吉利汽车	吉利汽车	吉利全球鹰	远景	紧凑型车	在售
473	江淮汽车	江淮汽车	江淮	和悦	紧凑型车	在售
82	雷克萨斯	雷克萨斯	雷克萨斯	雷克萨斯ct	紧凑型车	在售
454	雷诺	雷诺	雷诺	风朗fluence	紧凑型车	在售
511	雷诺	雷诺	雷诺	梅甘娜	紧凑型车	在售
495	重庆力帆	重庆力帆	力帆	力帆520	紧凑型车	在售
496	重庆力帆	重庆力帆	力帆	力帆620	紧凑型车	在售
484	莲花汽车	莲花汽车	莲花汽车	竞速	紧凑型车	在售
485	莲花汽车	莲花汽车	莲花汽车	竞悦	紧凑型车	在售
499	莲花汽车	莲花汽车	莲花汽车	莲花l3	紧凑型车	在售
500	莲花汽车	莲花汽车	莲花汽车	莲花l5	紧凑型车	在售
541	长安铃木	长安铃木	铃木	天语sx4	紧凑型车	在售
542	长安铃木	长安铃木	铃木	天语·尚悦	紧凑型车	在售
429	上海汽车	上海汽车	MG	mg5	紧凑型车	在售
430	上海汽车	上海汽车	MG	mg6	紧凑型车	在售
97	长安马自达	长安马自达	马自达	马自达3	紧凑型车	在售
116	马自达(进口)	马自达(进口)	马自达	马自达3(进口)	紧凑型车	在售
94	长安马自达	长安马自达	马自达	马自达3星骋	紧凑型车	在售
96	欧宝	欧宝	欧宝	雅特	紧凑型车	在售
114	奇瑞汽车	奇瑞汽车	奇瑞	奇瑞a3	紧凑型车	在售
90	奇瑞汽车	奇瑞汽车	奇瑞	奇瑞e5	紧凑型车	在售
88	奇瑞汽车	奇瑞汽车	奇瑞	旗云2	紧凑型车	在售
89	奇瑞汽车	奇瑞汽车	奇瑞	旗云3	紧凑型车	在售
520	东风日产	东风日产	启辰	启辰d50	紧凑型车	在售
129	东风悦达起亚	东风悦达起亚	起亚	福瑞迪	紧凑型车	在售
528	东风悦达起亚	东风悦达起亚	起亚	赛拉图	紧凑型车	在售
519	东风日产	东风日产	日产	骐达	紧凑型车	在售
546	东风日产	东风日产	日产	轩逸	紧凑型车	在售
550	东风日产	东风日产	日产	阳光	紧凑型车	在售
81	上海汽车	上海汽车	荣威	荣威350	紧凑型车	在售
115	上海汽车	上海汽车	荣威	荣威550	紧凑型车	在售
85	奇瑞汽车	奇瑞汽车	瑞麒	瑞麒g3	紧凑型车	在售
427	三菱(进口)	三菱(进口)	三菱	lancer	紧凑型车	在售
493	东南汽车	东南汽车	三菱	蓝瑟	紧凑型车	在售
530	东南汽车	东南汽车	三菱	三菱翼神	紧凑型车	在售
1257	东风本田	东风本田	思铭	思铭	紧凑型车	在售
553	斯巴鲁	斯巴鲁	斯巴鲁	翼豹	紧凑型车	在售
515	上海大众斯柯达	上海大众斯柯达	斯柯达	明锐	紧凑型车	在售
111	沃尔沃(进口)	沃尔沃(进口)	沃尔沃	沃尔沃c30	紧凑型车	在售
107	长安沃尔沃	长安沃尔沃	沃尔沃	沃尔沃s40	紧凑型车	在售
428	西雅特	西雅特	西雅特	leon	紧凑型车	在售
130	北京现代	北京现代	现代	北京现代i30	紧凑型车	在售
441	现代(进口)	现代(进口)	现代	veloster飞思	紧凑型车	在售
564	北京现代	北京现代	现代	悦动	紧凑型车	在售
112	北京现代	北京现代	现代	伊兰特	紧凑型车	在售
120	通用雪佛兰	通用雪佛兰	雪佛兰	科鲁兹	紧凑型车	在售
544	雪佛兰(进口)	雪佛兰(进口)	雪佛兰	沃蓝达volt	紧凑型车	在售
444	东风雪铁龙	东风雪铁龙	雪铁龙	爱丽舍	紧凑型车	在售
102	东风雪铁龙	东风雪铁龙	雪铁龙	凯旋	紧凑型车	在售
531	东风雪铁龙	东风雪铁龙	雪铁龙	世嘉	紧凑型车	在售
110	雪铁龙(进口)	雪铁龙(进口)	雪铁龙	雪铁龙c4	紧凑型车	在售
558	吉利汽车	吉利汽车	英伦	英伦sc7	紧凑型车	在售
560	吉利汽车	吉利汽车	英伦	英伦tx4	紧凑型车	在售
566	华晨中华	华晨中华	中华	中华h530	紧凑型车	在售
568	华晨中华	华晨中华	中华	中华骏捷cross	紧凑型车	在售
569	华晨中华	华晨中华	中华	中华骏捷frv	紧凑型车	在售
570	华晨中华	华晨中华	中华	中华骏捷fsv	紧凑型车	在售
104			阿尔法罗密欧	alfa147	紧凑型车	停产
95			标致	标致307(进口)	紧凑型车	停产
565			长安	志翔	紧凑型车	停产
447			大众	宝来/宝来经典	紧凑型车	停产
504			东南	菱帅	紧凑型车	停产
506			菲亚特	领雅	紧凑型车	停产
527			哈飞	赛豹v	紧凑型车	停产
477			海马	欢动	紧凑型车	停产
464			华普	海锋	紧凑型车	停产
465			华普	海景	紧凑型车	停产
466			华普	海尚	紧凑型车	停产
467			华普	海炫	紧凑型车	停产
468			华普	海迅	紧凑型车	停产
469			华普	海域	紧凑型车	停产
470			华普	海悦	紧凑型车	停产
437			克莱斯勒	pt漫步者	紧凑型车	停产
457			奇瑞	风云	紧凑型车	停产
106			奇瑞	奇瑞a5	紧凑型车	停产
132			奇瑞	旗云	紧凑型车	停产
552			日产	颐达	紧凑型车	停产
459			雪铁龙	富康	紧凑型车	停产
529			雪铁龙	赛纳	紧凑型车	停产
168			奥迪	奥迪a4(进口)	中型车	未上市
160			奔腾	奔腾b90	中型车	未上市
989			本田	本田fcx	中型车	未上市
548			本田	雅阁(海外)	中型车	未上市
417			标致	5bypeugeot	中型车	未上市
155			标致	标致508(进口)	中型车	未上市
187			别克	君威(海外)	中型车	未上市
488			别克	君越(海外)	中型车	未上市
539			长城	腾翼c70	中型车	未上市
162			川汽野马	野马f16	中型车	未上市
435			大众	passat	中型车	未上市
458			道奇	锋哲	中型车	未上市
985			丰田	avalon	中型车	未上市
420			丰田	avensis	中型车	未上市
185			丰田	凯美瑞(海外)	中型车	未上市
524			丰田	锐志(海外)	中型车	未上市
992			福特	福特fusion	中型车	未上市
481			福特	金牛座	中型车	未上市
514			福特	蒙迪欧致胜(海外)	中型车	未上市
476			华泰	华泰b21	中型车	未上市
479			捷豹	捷豹xtype	中型车	未上市
1645			凯迪拉克	凯迪拉克ats	中型车	未上市
156			克莱斯勒	克莱斯勒200	中型车	未上市
179			克莱斯勒	克莱斯勒200c	中型车	未上市
177			雷克萨斯	雷克萨斯hs	中型车	未上市
