121	15万-25万	22.38	33.88	22.88,24.88,30.48,33.88,22.38,24.38,29.98,33.38,	官方出厂价格	2012-05-07 20:00:00
138	5万-15万	12.19	16.99	12.19,13.39,13.59,14.79,12.99,14.19,14.39,15.59,16.99,	官方出厂价格	2012-05-07 20:00:00
133	5万-15万	9.99	11.79	9.99,10.49,10.79,11.79,	官方出厂价格	2012-05-07 20:00:00
555	5万-15万	12.99	18.73	12.99,13.49,14.49,14.99,17.15,18.15,13.27,13.77,14.77,15.27,17.73,18.73,16.53,	官方出厂价格	2012-05-07 20:00:00
78	5万-15万	6.38	10.68	6.38,6.98,7.28,6.68,6.98,7.28,7.58,7.28,7.88,8.08,9.38,10.18,10.68,6.88,7.38,7.58,7.58,7.68,7.78,7.98,9.18,9.98,	官方出厂价格	2012-05-07 20:00:00
981	5万-15万	7.39	9.49	7.39,7.69,7.99,8.59,8.59,8.89,9.49,	官方出厂价格	2012-05-07 20:00:00
537	5万-15万	5.89	8.35	6.45,7.45,6.75,7.75,7.35,8.35,5.89,6.29,6.59,7.19,7.29,7.59,8.19,	官方出厂价格	2012-05-07 20:00:00
538	5万-15万	7.80	9.18	7.80,8.48,9.18,	官方出厂价格	2012-05-07 20:00:00
446	5万-15万	10.78	14.78	10.78,11.88,11.98,13.08,13.45,12.88,14.28,14.65,10.78,11.88,11.98,13.08,13.58,12.88,13.38,14.28,14.78,13.28,14.68,	官方出厂价格	2012-05-07 20:00:00
460	5万-15万	11.88	23.58	11.89,13.09,12.68,13.88,15.58,13.68,15.08,16.78,15.98,23.58,11.88,13.28,12.58,13.98,15.68,13.58,14.98,16.68,23.58,	官方出厂价格	2012-05-07 20:00:00
461	25万-35万	23.98	39.48	28.33,23.98,28.98,39.48,	官方出厂价格	2012-05-07 20:00:00
480	5万-15万	7.58	9.88	7.58,8.08,8.88,8.88,9.88,	官方出厂价格	2012-05-07 20:00:00
478	15万-25万	20.16	30.21	20.16,26.19,22.73,24.20,30.21,22.73,22.50,24.10,29.50,	官方出厂价格	2012-05-07 20:00:00
494	5万-15万	11.28	16.28	13.28,14.68,14.38,15.78,16.28,11.28,12.48,12.28,13.48,14.58,11.68,12.88,	官方出厂价格	2012-05-07 20:00:00
535	15万-25万	13.18	18.58	13.18,14.38,13.88,15.08,14.18,15.58,15.38,16.78,17.78,18.58,13.28,14.48,13.58,14.78,14.38,15.58,14.88,16.28,15.58,16.98,17.28,18.48,	官方出厂价格	2012-05-07 20:00:00
